,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
184,0,4,215,21500477,,,4:42,2,5,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Porter Jr. REBOUND (Off:0 Def:3),8:26 PM
185,41,1,216,21500477,,,4:34,2,5,5,0,202322,John Wall,WAS,Washington,1610612764,Wizards,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,35 - 39,4,Wall 2' Running Layup (12 PTS) (Porter Jr. 1 AST),8:26 PM
186,1,1,217,21500477,Lowry  3PT Jump Shot (6 PTS) (DeRozan 3 AST),,4:12,2,4,4,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,35 - 42,7,,8:26 PM
187,98,1,218,21500477,,,4:03,2,5,5,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,37 - 42,5,Porter Jr. 2' Cutting Layup Shot (7 PTS) (Dudley 3 AST),8:26 PM
188,101,2,219,21500477,MISS Carroll 13' Driving Floating Jump Shot,,3:41,2,4,0,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:27 PM
189,0,4,220,21500477,,,3:39,2,5,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Wall REBOUND (Off:0 Def:4),8:27 PM
190,47,2,221,21500477,DeRozan BLOCK (1 BLK),,3:25,2,5,0,4,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,,,MISS Gortat 5' Turnaround Jump Shot,8:27 PM
191,0,4,222,21500477,DeRozan REBOUND (Off:1 Def:1),,3:23,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:27 PM
192,2,6,223,21500477,,,3:17,2,5,4,1,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Dudley S.FOUL (P2.T4) (D.Guthrie),8:27 PM
193,1,18,224,21500477,,,3:17,2,,0,1,223,Bill Curley,,,,,0,,,,,,0,,,,,,,,,8:28 PM
194,11,3,225,21500477,Scola Free Throw 1 of 2 (3 PTS),,3:17,2,4,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,37 - 43,6,,8:28 PM
195,0,8,227,21500477,SUB: Ross FOR Lowry,,3:17,2,4,4,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,203082,Terrence Ross,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,8:29 PM
196,0,8,240,21500477,SUB: Joseph FOR Carroll,,3:17,2,4,4,0,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,202709,Cory Joseph,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,8:29 PM
197,12,3,228,21500477,Scola Free Throw 2 of 2 (4 PTS),,3:17,2,4,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,37 - 44,7,,8:29 PM
198,71,2,231,21500477,,,3:01,2,5,0,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Gortat 1' Finger Roll Layup,8:29 PM
199,0,4,232,21500477,,,3:00,2,5,0,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Gortat REBOUND (Off:2 Def:2),8:29 PM
200,47,2,233,21500477,,,2:57,2,5,0,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Gortat 4' Turnaround Jump Shot,8:29 PM
201,0,4,234,21500477,Valanciunas REBOUND (Off:3 Def:2),,2:56,2,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:29 PM
202,101,2,235,21500477,MISS DeRozan 2' Driving Floating Jump Shot,,2:46,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:30 PM
203,0,4,236,21500477,DeRozan REBOUND (Off:2 Def:1),,2:46,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:30 PM
204,1,6,237,21500477,,,2:46,2,5,4,1,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Gortat P.FOUL (P1.PN) (D.Guthrie),8:30 PM
205,1,9,238,21500477,RAPTORS Timeout: Regular (Full 2 Short 0),,2:46,2,2,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,,8:30 PM
206,0,8,241,21500477,SUB: Biyombo FOR Valanciunas,,2:46,2,4,4,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,8:32 PM
207,11,3,243,21500477,DeRozan Free Throw 1 of 2 (12 PTS),,2:46,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,37 - 45,8,,8:32 PM
208,12,3,245,21500477,DeRozan Free Throw 2 of 2 (13 PTS),,2:46,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,37 - 46,9,,8:32 PM
209,79,1,247,21500477,,,2:33,2,5,5,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,39 - 46,7,Dudley 20' Pullup Jump Shot (9 PTS) (Wall 4 AST),8:33 PM
210,98,2,248,21500477,MISS DeRozan 3' Cutting Layup Shot,,2:19,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:33 PM
211,0,4,249,21500477,,,2:19,2,5,0,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Gortat REBOUND (Off:2 Def:3),8:33 PM
212,1,5,250,21500477,DeRozan STEAL (1 STL),,2:13,2,5,4,0,202322,John Wall,WAS,Washington,1610612764,Wizards,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Wall Bad Pass Turnover (P1.T5),8:33 PM
213,2,6,252,21500477,,,2:09,2,5,4,1,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Temple S.FOUL (P1.PN) (D.Guthrie),8:33 PM
214,11,3,253,21500477,DeRozan Free Throw 1 of 2 (14 PTS),,2:09,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,39 - 47,8,,8:33 PM
215,12,3,255,21500477,DeRozan Free Throw 2 of 2 (15 PTS),,2:09,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,39 - 48,9,,8:34 PM
216,98,2,257,21500477,,,1:55,2,5,0,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Temple 1' Cutting Layup Shot,8:34 PM
217,0,4,258,21500477,,,1:54,2,5,0,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Gortat REBOUND (Off:3 Def:3),8:34 PM
218,97,1,259,21500477,,,1:50,2,5,0,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,41 - 48,7,Gortat 2' Tip Layup Shot (10 PTS),8:34 PM
219,2,6,260,21500477,,,1:35,2,5,4,1,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Temple S.FOUL (P2.PN) (D.Guthrie),8:34 PM
220,11,3,261,21500477,DeRozan Free Throw 1 of 2 (16 PTS),,1:35,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,41 - 49,8,,8:35 PM
221,0,8,263,21500477,,,1:35,2,5,5,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,201196,Ramon Sessions,WAS,Washington,1610612764,Wizards,0,,,,,,,,SUB: Sessions FOR Temple,8:35 PM
222,12,3,264,21500477,DeRozan Free Throw 2 of 2 (17 PTS),,1:35,2,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,41 - 50,9,,8:35 PM
223,1,5,266,21500477,Joseph STEAL (1 STL),,1:26,2,5,4,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,202709,Cory Joseph,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Dudley Bad Pass Turnover (P1.T6),8:35 PM
224,1,2,268,21500477,MISS Scola 24' 3PT Jump Shot,,1:08,2,4,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:36 PM
225,0,4,269,21500477,,,1:07,2,5,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Wall REBOUND (Off:0 Def:5),8:36 PM
226,79,2,270,21500477,,,0:48,2,5,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Wall 10' Pullup Jump Shot,8:36 PM
227,0,4,271,21500477,Ross REBOUND (Off:1 Def:2),,0:46,2,4,0,0,203082,Terrence Ross,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:36 PM
228,79,2,272,21500477,MISS Ross 25' 3PT Pullup Jump Shot,,0:37,2,4,0,0,203082,Terrence Ross,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:37 PM
229,0,4,273,21500477,,,0:37,2,5,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Wall REBOUND (Off:0 Def:6),8:37 PM
230,1,2,274,21500477,,,0:29,2,5,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Porter Jr. 11' Jump Shot,8:37 PM
231,0,4,275,21500477,,,0:29,2,5,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Porter Jr. REBOUND (Off:1 Def:3),8:37 PM
232,1,2,276,21500477,,,0:24,2,5,0,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Dudley  3PT Jump Shot,8:37 PM
233,0,4,277,21500477,Scola REBOUND (Off:0 Def:5),,0:23,2,4,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:37 PM
234,1,2,278,21500477,MISS Scola 19' Jump Shot,,0:03,2,4,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,8:37 PM
235,0,4,279,21500477,RAPTORS Rebound,,0:03,2,2,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,,8:37 PM
236,1,6,280,21500477,,,0:03,2,5,4,1,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Gortat P.FOUL (P2.PN) (T.Ford),8:37 PM
237,11,3,281,21500477,Biyombo Free Throw 1 of 2 (7 PTS),,0:03,2,4,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,41 - 51,10,,8:38 PM
238,0,8,283,21500477,,,0:03,2,5,5,0,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,2743,Kris Humphries,WAS,Washington,1610612764,Wizards,0,,,,,,,,SUB: Humphries FOR Gortat,8:38 PM
239,0,8,284,21500477,SUB: Patterson FOR Scola,,0:03,2,4,4,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,202335,Patrick Patterson,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,8:38 PM
240,12,3,285,21500477,Biyombo Free Throw 2 of 2 (8 PTS),,0:03,2,4,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,41 - 52,11,,8:38 PM
241,1,6,287,21500477,Joseph P.FOUL (P2.T2) (P.Fraher),,0:03,2,4,5,1,202709,Cory Joseph,TOR,Toronto,1610612761,Raptors,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,,,,8:38 PM
242,2,9,288,21500477,,,0:03,2,3,0,0,1610612764,,,,,,0,,,,,,0,,,,,,,,Wizards Timeout: Short (Reg.2 Short 1),8:39 PM
