,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
264,1,6,315,21500477,,,9:37,3,5,4,1,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Gortat P.FOUL (P3.T1) (D.Guthrie),9:01 PM
265,101,2,316,21500477,MISS Valanciunas 3' Driving Floating Jump Shot,,9:27,3,4,0,5,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,101162,Marcin Gortat,WAS,Washington,1610612764,Wizards,,,Gortat BLOCK (3 BLK),9:01 PM
266,0,4,317,21500477,,,9:25,3,5,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Porter Jr. REBOUND (Off:1 Def:4),9:01 PM
267,79,2,318,21500477,,,9:14,3,5,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Wall 18' Pullup Jump Shot,9:01 PM
268,0,4,319,21500477,Valanciunas REBOUND (Off:4 Def:3),,9:13,3,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,9:01 PM
269,102,2,320,21500477,MISS DeRozan 5' Driving Floating Bank Jump Shot,,9:00,3,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,9:02 PM
270,0,4,321,21500477,,,9:00,3,5,0,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Dudley REBOUND (Off:0 Def:2),9:02 PM
271,1,1,322,21500477,,,8:48,3,5,5,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,49 - 54,5,Porter Jr.  3PT Jump Shot (15 PTS) (Wall 6 AST),9:02 PM
272,1,2,323,21500477,MISS Lowry 26' 3PT Jump Shot,,8:30,3,4,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,9:02 PM
273,0,4,324,21500477,,,8:30,3,5,0,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,Temple REBOUND (Off:1 Def:2),9:02 PM
274,2,6,325,21500477,Scola S.FOUL (P1.T3) (T.Ford),,8:27,3,4,5,1,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,0,,,,,,,,,9:02 PM
275,11,3,326,21500477,,,8:27,3,5,0,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,MISS Temple Free Throw 1 of 2,9:03 PM
276,1,4,327,21500477,,,8:27,3,3,0,0,1610612764,,,,,,0,,,,,,0,,,,,,,,Wizards Rebound,9:03 PM
