,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
223,0,8,257,21500463,,,0:03,2,5,5,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,,,SUB: Biyombo FOR Valanciunas,9:04 PM
224,0,8,258,21500463,SUB: Brooks FOR Gibson,,0:03,2,4,4,0,201959,Taj Gibson,CHI,Chicago,1610612741,Bulls,201166,Aaron Brooks,CHI,Chicago,1610612741,Bulls,0,,,,,,,,,9:04 PM
225,0,8,260,21500463,,,0:03,2,5,5,0,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,202709,Cory Joseph,TOR,Toronto,1610612761,Raptors,0,,,,,,,,SUB: Joseph FOR Biyombo,9:04 PM
226,12,3,261,21500463,,,0:03,2,5,0,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS Scola Free Throw 2 of 2,9:05 PM
227,0,4,263,21500463,Gasol REBOUND (Off:1 Def:4),,0:02,2,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:05 PM
228,0,13,264,21500463,,,0:00,2,0,0,0,0,,,,,,0,,,,,,0,,,,,,52 - 49,-3,,9:05 PM
229,0,12,266,21500463,,,12:00,3,0,0,0,0,,,,,,0,,,,,,0,,,,,,52 - 49,-3,,9:21 PM
230,1,2,267,21500463,MISS Mirotic 26' 3PT Jump Shot,,11:44,3,4,0,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:21 PM
231,0,4,268,21500463,Butler REBOUND (Off:1 Def:0),,11:43,3,4,0,0,202710,Jimmy Butler,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:21 PM
232,46,2,269,21500463,MISS Rose 17' Running Jump Shot,,11:28,3,4,0,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:21 PM
233,0,4,270,21500463,,,11:27,3,5,0,0,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,Biyombo REBOUND (Off:1 Def:7),9:21 PM
234,1,6,271,21500463,Gibson P.FOUL (P3.T1) (B.Barnaky),,11:13,3,4,5,1,201959,Taj Gibson,CHI,Chicago,1610612741,Bulls,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,9:22 PM
235,5,2,272,21500463,Mirotic BLOCK (1 BLK),,11:03,3,5,0,4,201960,DeMarre Carroll,TOR,Toronto,1610612761,Raptors,0,,,,,,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,,,MISS Carroll 1' Layup,9:22 PM
236,0,4,273,21500463,Mirotic REBOUND (Off:0 Def:6),,11:01,3,4,0,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:22 PM
237,2,6,274,21500463,,,10:56,3,5,4,1,202687,Bismack Biyombo,TOR,Toronto,1610612761,Raptors,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,,,Biyombo S.FOUL (P2.T1) (B.Barnaky),9:22 PM
238,11,3,275,21500463,Rose Free Throw 1 of 2 (11 PTS),,10:56,3,4,0,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,52 - 50,-2,,9:22 PM
239,12,3,277,21500463,Rose Free Throw 2 of 2 (12 PTS),,10:56,3,4,0,0,201565,Derrick Rose,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,52 - 51,-1,,9:22 PM
240,5,2,279,21500463,,,10:39,3,5,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,MISS DeRozan 3' Layup,9:23 PM
241,0,4,280,21500463,Gasol REBOUND (Off:1 Def:5),,10:38,3,4,0,0,2200,Pau Gasol,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:23 PM
242,98,2,281,21500463,MISS Mirotic 1' Cutting Layup Shot,,10:19,3,4,0,0,202703,Nikola Mirotic,CHI,Chicago,1610612741,Bulls,0,,,,,,0,,,,,,,,,9:23 PM
