,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
355,98,1,444,21500649,,,6:35,4,5,5,0,2548,Dwyane Wade,MIA,Miami,1610612748,Heat,1626159,Justise Winslow,MIA,Miami,1610612748,Heat,0,,,,,,73 - 85,12,Wade 3' Cutting Layup Shot (20 PTS) (Winslow 2 AST),10:10 PM
356,1,2,445,21500649,MISS Lowry 25' 3PT Jump Shot,,6:17,4,4,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:10 PM
357,0,4,446,21500649,,,6:16,4,5,0,0,2548,Dwyane Wade,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,Wade REBOUND (Off:1 Def:1),10:10 PM
358,46,2,447,21500649,Johnson BLOCK (2 BLK),,6:10,4,5,0,4,1626159,Justise Winslow,MIA,Miami,1610612748,Heat,0,,,,,,201949,James Johnson,TOR,Toronto,1610612761,Raptors,,,MISS Winslow 4' Running Jump Shot,10:10 PM
359,0,4,448,21500649,Lowry REBOUND (Off:0 Def:4),,6:08,4,4,0,0,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:10 PM
360,41,1,449,21500649,Johnson 1' Running Layup (8 PTS) (Lowry 4 AST),,6:02,4,4,4,0,201949,James Johnson,TOR,Toronto,1610612761,Raptors,200768,Kyle Lowry,TOR,Toronto,1610612761,Raptors,0,,,,,,73 - 87,14,,10:10 PM
361,1,1,450,21500649,,,5:39,4,5,5,0,2548,Dwyane Wade,MIA,Miami,1610612748,Heat,2547,Chris Bosh,MIA,Miami,1610612748,Heat,0,,,,,,75 - 87,12,Wade 22' Jump Shot (22 PTS) (Bosh 1 AST),10:11 PM
362,1,9,451,21500649,RAPTORS Timeout: Regular (Full 4 Short 0),,5:39,4,2,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,,10:11 PM
363,0,8,453,21500649,SUB: Patterson FOR Scola,,5:39,4,4,4,0,2449,Luis Scola,TOR,Toronto,1610612761,Raptors,202335,Patrick Patterson,TOR,Toronto,1610612761,Raptors,0,,,,,,,,,10:13 PM
364,79,2,455,21500649,MISS DeRozan 18' Pullup Jump Shot,,5:15,4,4,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:14 PM
365,0,4,456,21500649,Valanciunas REBOUND (Off:1 Def:7),,5:15,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:14 PM
366,2,6,457,21500649,,,5:14,4,5,4,1,1626159,Justise Winslow,MIA,Miami,1610612748,Heat,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,,,Winslow S.FOUL (P3.T4) (M.Callahan),10:14 PM
367,11,3,458,21500649,MISS Valanciunas Free Throw 1 of 2,,5:14,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:14 PM
368,1,4,459,21500649,RAPTORS Rebound,,5:14,4,2,0,0,1610612761,,,,,,0,,,,,,0,,,,,,,,,10:14 PM
369,12,3,460,21500649,Valanciunas Free Throw 2 of 2 (7 PTS),,5:14,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,75 - 88,13,,10:15 PM
370,1,2,462,21500649,,,4:54,4,5,0,0,101123,Gerald Green,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Green 25' 3PT Jump Shot,10:15 PM
